title = "Plot for node 200035"
VARIABLES =  "Time""Displacement X ""Displacement Y ""Displacement Z ""Displacement Al""Displacement Be""Displacement Ga"
ZONE T= "ONE"  I=  5001  F=POINT
  0.3720072E+01 -0.4243834E-02  0.1496736E-02  0.4508283E+00 -0.1502835E+01  0.1657616E+01  0.6715900E-02
  0.3739763E+01 -0.6341954E-02  0.1705228E-02  0.4718895E+00 -0.1502987E+01  0.1656630E+01  0.5035868E-02
  0.3759972E+01 -0.8371706E-02  0.1907622E-02  0.4967224E+00 -0.1503115E+01  0.1655768E+01  0.6677465E-02
  0.3780182E+01 -0.9470804E-02  0.2086852E-02  0.5229732E+00 -0.1503178E+01  0.1655438E+01  0.1099772E-01
  0.3799873E+01 -0.8548850E-02  0.2203474E-02  0.5418322E+00 -0.1503161E+01  0.1655686E+01  0.1386771E-01
  0.3820082E+01 -0.4782510E-02  0.2271495E-02  0.5484548E+00 -0.1503042E+01  0.1656351E+01  0.1272660E-01
  0.3839773E+01  0.1185630E-02  0.2365379E-02  0.5451523E+00 -0.1502835E+01  0.1657056E+01  0.8754598E-02
  0.3859983E+01  0.7841243E-02  0.2487907E-02  0.5406777E+00 -0.1502600E+01  0.1657485E+01  0.5341272E-02
  0.3880192E+01  0.1305491E-01  0.2564020E-02  0.5425711E+00 -0.1502433E+01  0.1657508E+01  0.5597287E-02
  0.3899883E+01  0.1607907E-01  0.2617052E-02  0.5501252E+00 -0.1502375E+01  0.1657240E+01  0.9218822E-02
  0.3920093E+01  0.1780344E-01  0.2662782E-02  0.5559854E+00 -0.1502415E+01  0.1656820E+01  0.1317649E-01
  0.3939784E+01  0.1946625E-01  0.2596763E-02  0.5519635E+00 -0.1502511E+01  0.1656478E+01  0.1434085E-01
  0.3959993E+01  0.2244584E-01  0.2387736E-02  0.5353636E+00 -0.1502588E+01  0.1656493E+01  0.1275917E-01
  0.3980202E+01  0.2744155E-01  0.2138117E-02  0.5086633E+00 -0.1502573E+01  0.1657039E+01  0.1031234E-01
  0.3999893E+01  0.3419789E-01  0.1920698E-02  0.4755701E+00 -0.1502464E+01  0.1657895E+01  0.7994946E-02
  0.4020103E+01  0.4252209E-01  0.1743431E-02  0.4352429E+00 -0.1502300E+01  0.1658649E+01  0.5036668E-02
  0.4039794E+01  0.5128627E-01  0.1664611E-02  0.3906863E+00 -0.1502117E+01  0.1658882E+01  0.1115141E-02
